"forecast_date","ensemble_member","variable","value"
2020-09-25,1,"air_temperature",27.0058202107748
2020-09-26,1,"air_temperature",27.642407989502
2020-09-27,1,"air_temperature",28.0299176534017
2020-09-28,1,"air_temperature",25.8185897827149
2020-09-29,1,"air_temperature",25.3055651346843
2020-09-30,1,"air_temperature",21.3720235188802
2020-10-01,1,"air_temperature",21.1070788065593
2020-10-02,1,"air_temperature",22.0518127441406
2020-09-25,2,"air_temperature",27.2549593607585
2020-09-26,2,"air_temperature",27.9995068868002
2020-09-27,2,"air_temperature",27.5427007039388
2020-09-28,2,"air_temperature",27.0257609049479
2020-09-29,2,"air_temperature",25.4271052042643
2020-09-30,2,"air_temperature",20.4430341084798
2020-10-01,2,"air_temperature",19.2763865152995
2020-10-02,2,"air_temperature",18.8105496724447
2020-09-25,3,"air_temperature",27.8966016133627
2020-09-26,3,"air_temperature",28.2302096048991
2020-09-27,3,"air_temperature",27.8362721761068
2020-09-28,3,"air_temperature",27.4903414408366
2020-09-29,3,"air_temperature",27.4857650756836
2020-09-30,3,"air_temperature",25.1621566772461
2020-10-01,3,"air_temperature",22.9202425638835
2020-10-02,3,"air_temperature",21.694056447347
2020-09-25,4,"air_temperature",26.592067972819
2020-09-26,4,"air_temperature",27.09449412028
2020-09-27,4,"air_temperature",27.2228205362956
2020-09-28,4,"air_temperature",25.804532623291
2020-09-29,4,"air_temperature",23.8757110595703
2020-09-30,4,"air_temperature",22.3996393839518
2020-10-01,4,"air_temperature",20.6838915506999
2020-10-02,4,"air_temperature",20.1205777486166
2020-09-25,5,"air_temperature",27.3280553181966
2020-09-26,5,"air_temperature",28.1082817077637
2020-09-27,5,"air_temperature",28.075996653239
2020-09-28,5,"air_temperature",27.61904296875
2020-09-29,5,"air_temperature",26.9157958984375
2020-09-30,5,"air_temperature",23.6343119303386
2020-10-01,5,"air_temperature",21.7166241963705
2020-10-02,5,"air_temperature",21.7995836893718
2020-09-25,6,"air_temperature",27.2413536071778
2020-09-26,6,"air_temperature",28.2578152974447
2020-09-27,6,"air_temperature",28.0933700561524
2020-09-28,6,"air_temperature",25.7631940205892
2020-09-29,6,"air_temperature",26.1198084513347
2020-09-30,6,"air_temperature",25.1320472717285
2020-10-01,6,"air_temperature",23.2767819722494
2020-10-02,6,"air_temperature",22.5439595540365
2020-09-25,7,"air_temperature",27.5366861979167
2020-09-26,7,"air_temperature",27.4745943705241
2020-09-27,7,"air_temperature",27.6719846089681
2020-09-28,7,"air_temperature",27.3551956176758
2020-09-29,7,"air_temperature",25.8519340515137
2020-09-30,7,"air_temperature",23.4381996154785
2020-10-01,7,"air_temperature",22.7703859965007
2020-10-02,7,"air_temperature",20.3121658325196
2020-09-25,8,"air_temperature",27.2835072835287
2020-09-26,8,"air_temperature",27.5805755615235
2020-09-27,8,"air_temperature",27.8991956075033
2020-09-28,8,"air_temperature",24.4058993021647
2020-09-29,8,"air_temperature",23.8671343485515
2020-09-30,8,"air_temperature",19.8924156188965
2020-10-01,8,"air_temperature",21.3683601379395
2020-10-02,8,"air_temperature",22.1031941731771
2020-09-25,9,"air_temperature",27.2118990580241
2020-09-26,9,"air_temperature",27.6066846211752
2020-09-27,9,"air_temperature",27.6254503885905
2020-09-28,9,"air_temperature",25.4972434997559
2020-09-29,9,"air_temperature",24.1304946899414
