"date","variable","value"
2018-05-04,"airt",21.8164020833333
2018-05-04,"wtemp",27.6925
2018-05-04,"swr",323.984166666667
2018-05-04,"wnd",NA
2018-05-05,"airt",21.5856
2018-05-05,"wtemp",26.396875
2018-05-05,"swr",251.816041666667
2018-05-05,"wnd",NA
2018-05-06,"airt",24.0676979166667
2018-05-06,"wtemp",26.6047916666667
2018-05-06,"swr",210.626458333333
2018-05-06,"wnd",NA
2018-05-07,"airt",24.2224854166667
2018-05-07,"wtemp",27.055
2018-05-07,"swr",299.883333333333
2018-05-07,"wnd",NA
2018-05-08,"airt",22.114125
2018-05-08,"wtemp",27.1220833333333
2018-05-08,"swr",307.313541666667
2018-05-08,"wnd",NA
2018-05-09,"airt",22.0988145833333
2018-05-09,"wtemp",27.0843902439024
2018-05-09,"swr",284.765625
2018-05-09,"wnd",NA
2018-05-10,"airt",23.3617083333333
2018-05-10,"wtemp",27.3860416666667
2018-05-10,"swr",293.881875
2018-05-10,"wnd",NA
2018-05-11,"airt",25.822625
2018-05-11,"wtemp",27.8160416666667
2018-05-11,"swr",284.143333333333
2018-05-11,"wnd",NA
2018-05-12,"airt",25.0112979166667
2018-05-12,"wtemp",28.08375
2018-05-12,"swr",263.43
2018-05-12,"wnd",NA
2018-05-13,"airt",22.0750583333333
2018-05-13,"wtemp",27.7785416666667
2018-05-13,"swr",171.733333333333
2018-05-13,"wnd",NA
2018-05-14,"airt",22.407075
2018-05-14,"wtemp",27.3720833333333
2018-05-14,"swr",108.392708333333
2018-05-14,"wnd",NA
2018-05-15,"airt",22.36494375
2018-05-15,"wtemp",26.995
2018-05-15,"swr",103.13625
2018-05-15,"wnd",NA
2018-05-16,"airt",22.3940520833333
2018-05-16,"wtemp",26.7697916666667
2018-05-16,"swr",170.362916666667
2018-05-16,"wnd",NA
2018-05-17,"airt",23.3584979166667
2018-05-17,"wtemp",26.72
2018-05-17,"swr",143.668333333333
2018-05-17,"wnd",NA
2018-05-18,"airt",23.2541604166667
2018-05-18,"wtemp",26.700625
2018-05-18,"swr",133.839583333333
2018-05-18,"wnd",NA
2018-05-19,"airt",23.90473125
2018-05-19,"wtemp",27.296875
2018-05-19,"swr",249.547083333333
2018-05-19,"wnd",NA
2018-05-20,"airt",22.5466020833333
2018-05-20,"wtemp",26.9133333333333
2018-05-20,"swr",61.5783333333333
2018-05-20,"wnd",NA
2018-05-21,"airt",22.9207354166667
2018-05-21,"wtemp",26.5755813953488
2018-05-21,"swr",104.285
2018-05-21,"wnd",NA
2018-05-22,"airt",23.9060791666667
2018-05-22,"wtemp",26.7647916666667
2018-05-22,"swr",206.700208333333
2018-05-22,"wnd",NA
2018-05-23,"airt",24.5635875
2018-05-23,"wtemp",27.5925
2018-05-23,"swr",274.609375
2018-05-23,"wnd",1.34
2018-05-24,"airt",25.69295
2018-05-24,"wtemp",28.8127659574468
2018-05-24,"swr",256.944583333333
2018-05-24,"wnd",0.723103448275862
2018-05-25,"airt",25.61728125
2018-05-25,"wtemp",28.6754166666667
2018-05-25,"swr",246.173125
2018-05-25,"wnd",NA
2018-05-26,"airt",24.9850270833333
2018-05-26,"wtemp",28.7872916666667
2018-05-26,"swr",241.740833333333
2018-05-26,"wnd",NA
2018-05-27,"airt",24.2334954545455
2018-05-27,"wtemp",28.154375
2018-05-27,"swr",94.5020833333333
2018-05-27,"wnd",NA
2018-05-28,"airt",25.5446875
2018-05-28,"wtemp",27.8758333333333
2018-05-28,"swr",189.011041666667
2018-05-28,"wnd",NA
2018-05-29,"airt",24.8717458333333
2018-05-29,"wtemp",28.044375
2018-05-29,"swr",206.163541666667
2018-05-29,"wnd",NA
2018-05-30,"airt",23.3779604166667
2018-05-30,"wtemp",27.8577083333333
2018-05-30,"swr",44.3470833333333
2018-05-30,"wnd",NA
2018-05-31,"airt",24.8714541666667
2018-05-31,"wtemp",28.1064583333333
2018-05-31,"swr",181.7075
2018-05-31,"wnd",NA
2018-06-01,"airt",26.11075
